ID,answer
TG_A_J_20230304,3475.038574
TG_A_J_20230305,0
TG_A_J_20230306,4285.380859
TG_A_J_20230307,4337.897461
TG_A_J_20230308,3788.11499
TG_A_J_20230309,4389.795898
TG_A_J_20230310,4133.949219
TG_A_J_20230311,3418.603027
TG_A_J_20230312,0
TG_A_J_20230313,4574.505371
TG_A_J_20230314,4426.907715
TG_A_J_20230315,4350.17627
TG_A_J_20230316,4542.59375
TG_A_J_20230317,4872.259277
TG_A_J_20230318,5830.339844
TG_A_J_20230319,0
TG_A_J_20230320,3842.446533
TG_A_J_20230321,3877.339844
TG_A_J_20230322,3730.48584
TG_A_J_20230323,3696.513428
TG_A_J_20230324,3768.107178
TG_A_J_20230325,3246.053955
TG_A_J_20230326,0
TG_A_J_20230327,4590.488281
TG_A_J_20230328,4502.306152
TG_A_J_20230329,4099.095703
TG_A_J_20230330,4099.5
TG_A_J_20230331,4455.131836
TG_A_S_20230304,4647.532227
TG_A_S_20230305,81.04309082
TG_A_S_20230306,4351.208496
TG_A_S_20230307,4886.327148
TG_A_S_20230308,4919.950684
TG_A_S_20230309,5008.421387
TG_A_S_20230310,5019.426758
TG_A_S_20230311,3597.399658
TG_A_S_20230312,94.07361603
TG_A_S_20230313,4945.431641
TG_A_S_20230314,4916.229004
TG_A_S_20230315,5338.18457
TG_A_S_20230316,5108.481445
TG_A_S_20230317,5069.390625
TG_A_S_20230318,3745.033936
TG_A_S_20230319,73.2760849
TG_A_S_20230320,5330.632813
TG_A_S_20230321,4730.000977
TG_A_S_20230322,5558.907227
TG_A_S_20230323,5209.790039
TG_A_S_20230324,5064.128418
TG_A_S_20230325,4047.166504
TG_A_S_20230326,28.88972473
TG_A_S_20230327,5387.569824
TG_A_S_20230328,5494.433105
TG_A_S_20230329,5434.007324
TG_A_S_20230330,5685.561523
TG_A_S_20230331,6015.761719
TG_B_J_20230304,3426.842285
TG_B_J_20230305,172.0688477
TG_B_J_20230306,4031.355225
TG_B_J_20230307,4032.799561
TG_B_J_20230308,4157.130371
TG_B_J_20230309,4331.40918
TG_B_J_20230310,4684.012695
TG_B_J_20230311,3000.668213
TG_B_J_20230312,173.9420166
TG_B_J_20230313,4015.214844
TG_B_J_20230314,4051.584717
TG_B_J_20230315,4220.100098
TG_B_J_20230316,4336.255371
TG_B_J_20230317,4340.296387
TG_B_J_20230318,4288.532715
TG_B_J_20230319,142.1408539
TG_B_J_20230320,2891.272949
TG_B_J_20230321,2974.597412
TG_B_J_20230322,3418.918213
TG_B_J_20230323,2635.098633
TG_B_J_20230324,3632.706055
TG_B_J_20230325,2886.310791
TG_B_J_20230326,137.3564911
TG_B_J_20230327,3775.567871
TG_B_J_20230328,4587.598633
TG_B_J_20230329,3430.504395
TG_B_J_20230330,5096.491211
TG_B_J_20230331,4419.390625
TG_B_S_20230304,4121.150391
TG_B_S_20230305,87.86196136
TG_B_S_20230306,3950.535156
TG_B_S_20230307,3871.916504
TG_B_S_20230308,4066.428711
TG_B_S_20230309,4384.074707
TG_B_S_20230310,4337.38916
TG_B_S_20230311,3648.705078
TG_B_S_20230312,95.06752777
TG_B_S_20230313,4658.020996
TG_B_S_20230314,4122.712891
TG_B_S_20230315,4303.572754
TG_B_S_20230316,4279.793945
TG_B_S_20230317,4554.475098
TG_B_S_20230318,4608.70459
TG_B_S_20230319,64.73942566
TG_B_S_20230320,4764.935547
TG_B_S_20230321,5101.292969
TG_B_S_20230322,3680.494873
TG_B_S_20230323,5091.312988
TG_B_S_20230324,4567.052734
TG_B_S_20230325,4060.351074
TG_B_S_20230326,30.16719246
TG_B_S_20230327,5439.486816
TG_B_S_20230328,5782.614258
TG_B_S_20230329,5423.577637
TG_B_S_20230330,5176.646484
TG_B_S_20230331,5650.397949
TG_C_J_20230304,4758.441895
TG_C_J_20230305,0
TG_C_J_20230306,4408.689941
TG_C_J_20230307,4617.766113
TG_C_J_20230308,4712.333008
TG_C_J_20230309,4672.918945
TG_C_J_20230310,5172.912109
TG_C_J_20230311,5299.821777
TG_C_J_20230312,0
TG_C_J_20230313,4880.219238
TG_C_J_20230314,5593.428711
TG_C_J_20230315,5358.278809
TG_C_J_20230316,5218.901367
TG_C_J_20230317,5797.896484
TG_C_J_20230318,6570.638184
TG_C_J_20230319,0
TG_C_J_20230320,4816.790527
TG_C_J_20230321,4674.958984
TG_C_J_20230322,4255.925293
TG_C_J_20230323,4439.962402
TG_C_J_20230324,4644.334961
TG_C_J_20230325,5050.080078
TG_C_J_20230326,0
TG_C_J_20230327,5502.147461
TG_C_J_20230328,4856.233398
TG_C_J_20230329,4205.416504
TG_C_J_20230330,7279.729004
TG_C_J_20230331,4498.862793
TG_C_S_20230304,4696.020996
TG_C_S_20230305,86.21697998
TG_C_S_20230306,3624.399658
TG_C_S_20230307,3525.346436
TG_C_S_20230308,3649.701416
TG_C_S_20230309,3857.736084
TG_C_S_20230310,3689.371582
TG_C_S_20230311,4679.109863
TG_C_S_20230312,98.94576263
TG_C_S_20230313,4009.486328
TG_C_S_20230314,4853.42041
TG_C_S_20230315,4211.634277
TG_C_S_20230316,3502.27417
TG_C_S_20230317,4411.609375
TG_C_S_20230318,3796.30957
TG_C_S_20230319,74.75371552
TG_C_S_20230320,4603.122559
TG_C_S_20230321,4393.437988
TG_C_S_20230322,4463.849609
TG_C_S_20230323,4760.935059
TG_C_S_20230324,4428.322754
TG_C_S_20230325,4670.465332
TG_C_S_20230326,35.13879013
TG_C_S_20230327,5990.111816
TG_C_S_20230328,5579.05957
TG_C_S_20230329,4894.263672
TG_C_S_20230330,5160.603516
TG_C_S_20230331,5170.072754
TG_D_J_20230304,2190.037598
TG_D_J_20230305,0
TG_D_J_20230306,4378.354492
TG_D_J_20230307,4392.118164
TG_D_J_20230308,4460.035156
TG_D_J_20230309,4536.003906
TG_D_J_20230310,4540.356445
TG_D_J_20230311,3728.840332
TG_D_J_20230312,0
TG_D_J_20230313,5394.384277
TG_D_J_20230314,4709.101074
TG_D_J_20230315,3699.150391
TG_D_J_20230316,4371.336914
TG_D_J_20230317,4500.448242
TG_D_J_20230318,4529.174316
TG_D_J_20230319,0
TG_D_J_20230320,5161.684082
TG_D_J_20230321,5020.588379
TG_D_J_20230322,4768.060059
TG_D_J_20230323,4810.19043
TG_D_J_20230324,5568.238281
TG_D_J_20230325,4735.050781
TG_D_J_20230326,0
TG_D_J_20230327,7313.348145
TG_D_J_20230328,4630.106934
TG_D_J_20230329,5440.347656
TG_D_J_20230330,5210.626953
TG_D_J_20230331,5272.118652
TG_D_S_20230304,4076.309326
TG_D_S_20230305,41.64506912
TG_D_S_20230306,4117.563477
TG_D_S_20230307,4334.883789
TG_D_S_20230308,4236.456055
TG_D_S_20230309,4764.897949
TG_D_S_20230310,4619.541992
TG_D_S_20230311,4181.510254
TG_D_S_20230312,50.31770706
TG_D_S_20230313,3851.081055
TG_D_S_20230314,4212.807129
TG_D_S_20230315,4224.009766
TG_D_S_20230316,4931.049316
TG_D_S_20230317,4373.866699
TG_D_S_20230318,4157.554688
TG_D_S_20230319,53.39801025
TG_D_S_20230320,4601.474121
TG_D_S_20230321,4770.033203
TG_D_S_20230322,4791.798828
